station_name,station_add,station_lat,station_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,597844596,40.6930266,-73.9831149,4194.195
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,597844756,40.6924916,-73.9905666,3984.758
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,597844772,40.6936062,-73.9835754,4263.155000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258875373,40.6913337,-73.9820768,3816.6059999999993
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258875489,40.6899251,-73.9813796,3649.303999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258875710,40.6920539,-73.9824379,3902.2799999999993
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258875754,40.688872,-73.9808694,3524.4429999999993
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258945540,40.6932475,-73.9887372,3970.3500000000004
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258945651,40.693201,-73.9888695,3963.6610000000005
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1258945659,40.693253,-73.988997,4654.775
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,1693893347,40.6931259,-73.9872481,3893.6040000000007
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,2696777590,40.6899461,-73.983563,3857.876999999999
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,3026465132,40.6936053,-73.9833753,4126.178
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,3536386693,40.6932538,-73.9862175,3998.3340000000007
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,4526565698,40.693721,-73.9834313,4112.474
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,4735727610,40.6922318,-73.9872962,3794.1020000000008
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,5009155051,40.694921,-73.9860671,4190.869000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,6933321234,40.6910987,-73.9891992,3727.356
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,6993160951,40.6936085,-73.9842856,4203.278
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,9201526517,40.6961868,-73.9905921,4271.937999999998
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,9664385497,40.69496,-73.9889475,4464.844
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,10001058440,40.6949359,-73.988697,4157.191000000001
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,11381945329,40.695257,-73.9886807,4192.9220000000005
FedEx Ship Center,16 19th St,40.6666819,-73.9994492,11381945330,40.6961114,-73.9885861,4288.378000000001
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464631,40.6920559,-73.9826228,5431.228999999999
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464823,40.6921704,-73.9891263,5902.0
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464824,40.6918024,-73.9882134,5910.649000000001
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464827,40.6914546,-73.9873387,5827.376000000001
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464832,40.690663,-73.9853532,5806.1140000000005
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464834,40.690561,-73.985105,5829.916
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464836,40.690292,-73.984433,5766.712
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464838,40.6901448,-73.9840629,5801.948
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464844,40.6897015,-73.9829511,5737.945
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464847,40.689358,-73.982098,5819.3859999999995
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42464848,40.6889411,-73.9810499,5719.944999999999
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42466438,40.6887841,-73.9835721,5852.607999999999
FedEx Home Delivery,100 Morgan Ave,40.7084334,-73.931757,42469226,40.6932563,-73.9881544,6073.3110000000015
