building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
540 Fulton Street,40.688788,-73.98152,588036470,40.6910889,-73.986427,788.597
540 Fulton Street,40.688788,-73.98152,597844593,40.6929609,-73.9833513,1353.8149999999998
540 Fulton Street,40.688788,-73.98152,597844596,40.6930266,-73.9831149,1363.7839999999999
540 Fulton Street,40.688788,-73.98152,597844756,40.6924916,-73.9905666,1142.235
540 Fulton Street,40.688788,-73.98152,597844772,40.6936062,-73.9835754,1278.8959999999997
540 Fulton Street,40.688788,-73.98152,1258875373,40.6913337,-73.9820768,309.211
540 Fulton Street,40.688788,-73.98152,1258875489,40.6899251,-73.9813796,141.909
540 Fulton Street,40.688788,-73.98152,1258875710,40.6920539,-73.9824379,394.885
540 Fulton Street,40.688788,-73.98152,1258875754,40.688872,-73.9808694,17.048
540 Fulton Street,40.688788,-73.98152,1258945540,40.6932475,-73.9887372,1127.827
540 Fulton Street,40.688788,-73.98152,1258945651,40.693201,-73.9888695,1121.138
540 Fulton Street,40.688788,-73.98152,1693893347,40.6931259,-73.9872481,905.8969999999999
540 Fulton Street,40.688788,-73.98152,2696777590,40.6899461,-73.983563,350.875
540 Fulton Street,40.688788,-73.98152,3026465132,40.6936053,-73.9833753,1295.7669999999998
540 Fulton Street,40.688788,-73.98152,3536386693,40.6932538,-73.9862175,1010.627
540 Fulton Street,40.688788,-73.98152,4526565698,40.693721,-73.9834313,1712.39
540 Fulton Street,40.688788,-73.98152,4735727610,40.6922318,-73.9872962,806.395
540 Fulton Street,40.688788,-73.98152,5009155051,40.694921,-73.9860671,1203.162
540 Fulton Street,40.688788,-73.98152,6933321234,40.6910987,-73.9891992,884.833
540 Fulton Street,40.688788,-73.98152,6993160951,40.6936085,-73.9842856,1219.0189999999998
540 Fulton Street,40.688788,-73.98152,10001058440,40.6949359,-73.988697,1314.668
540 Fulton Street,40.688788,-73.98152,11381945329,40.695257,-73.9886807,1350.399
540 Fulton Street,40.688788,-73.98152,11381945330,40.6961114,-73.9885861,1445.8549999999998
236 Livingston Street,40.6889559,-73.9849672,42464631,40.6920559,-73.9826228,468.27699999999993
236 Livingston Street,40.6889559,-73.9849672,42464823,40.6921704,-73.9891263,573.0880000000001
236 Livingston Street,40.6889559,-73.9849672,42464824,40.6918024,-73.9882134,504.75200000000007
236 Livingston Street,40.6889559,-73.9849672,42464827,40.6914546,-73.9873387,421.47900000000004
236 Livingston Street,40.6889559,-73.9849672,42464832,40.690663,-73.9853532,449.084
236 Livingston Street,40.6889559,-73.9849672,42464834,40.690561,-73.985105,472.886
236 Livingston Street,40.6889559,-73.9849672,42464836,40.690292,-73.984433,536.955
236 Livingston Street,40.6889559,-73.9849672,42464838,40.6901448,-73.9840629,115.49799999999999
236 Livingston Street,40.6889559,-73.9849672,42464844,40.6897015,-73.9829511,221.41
236 Livingston Street,40.6889559,-73.9849672,42464847,40.689358,-73.982098,300.85400000000004
236 Livingston Street,40.6889559,-73.9849672,42464848,40.6889411,-73.9810499,400.648
236 Livingston Street,40.6889559,-73.9849672,42466438,40.6887841,-73.9835721,106.218
236 Livingston Street,40.6889559,-73.9849672,42469226,40.6932563,-73.9881544,667.414
236 Livingston Street,40.6889559,-73.9849672,42469228,40.6922794,-73.9881997,558.721
236 Livingston Street,40.6889559,-73.9849672,42480566,40.693036,-73.984292,856.9670000000001
236 Livingston Street,40.6889559,-73.9849672,42480569,40.6930502,-73.9852301,777.859
236 Livingston Street,40.6889559,-73.9849672,42480571,40.693088,-73.986226,693.787
236 Livingston Street,40.6889559,-73.9849672,42481889,40.6949665,-73.987162,812.3040000000001
236 Livingston Street,40.6889559,-73.9849672,42491554,40.6959659,-73.9845903,1145.8990000000001
236 Livingston Street,40.6889559,-73.9849672,42491582,40.6911662,-73.9821756,574.1479999999999
236 Livingston Street,40.6889559,-73.9849672,42491585,40.6899297,-73.9815542,557.287
236 Livingston Street,40.6889559,-73.9849672,42491589,40.688761,-73.980843,427.207
236 Livingston Street,40.6889559,-73.9849672,42492210,40.6904673,-73.9878775,302.20000000000005
